Station;RoundingTrips
Canning / Notre-Dame;370
Cartier / Bélanger;505
Cartier / Dandurand;1152
Cartier / Marie-Anne;0
Cartier / Masson;0
Cartier / Rosemont;728
Cartier / St-Joseph;0
Casgrain / Maguire;1644
Casgrain / Mozart;1359
Casgrain / St-Viateur;606
Casino de Montréal;8537
CCI Outremont (Dollard / Durcharme);0
Centre des loisirs (Tassé / Grenet);540
Centre récréatif Édouard-Rivet (Lesage / Notre-Dame);0
Centre ÉPIC (St-Zotique / 40e avenue);770
Chabanel / de l'Esplanade;745
Chabanel / du Parc;1146
Chabot / Beaubien;487
Chabot / de Bellechasse;463
Chabot / du Mont-Royal;0
Chabot / Laurier;1860
Chabot / Villeray;809
Chambord / Beaubien;513
Chambord / de Castelnau;102
Chambord / Fleury;0
Chambord / Jean-Talon;431
Chambord/ Beaubien;495
Champdoré / de Lorimier;582
Chapleau / du Mont-Royal;1099
Chapleau / Terrasse Mercure;0
Charlevoix / Lionel-Groulx;332
Chomedey / de Maisonneuve;1175
Chomedey / Lincoln;0
Christophe-Colomb / St-Joseph;540
CHSLD Joseph-François-Perrault (St-Michel / Everett);364
CHSLD Robert Cliche (de Bellechasse / 16e avenue);1123
CHSLD St-Michel (8e avenue / Jarry);0
CHU Sainte-Justine (de la Côte Sainte-Catherine / Hudson);0
CHU Ste-Justine (de la Côte Ste-Catherine / Hudson);755
City Councillors / du President-Kennedy;444
Cité des Arts du Cirque (Paul Boutet / des Regrattiers);0
CIUSSS (du Trianon / Pierre-de-Coubertin);642
Clark / de Liège;1252
Clark / Fleury;0
Clark / Ontario;862
Clark / Prince-Arthur;1083
Clark / Rachel;896
Clark / St-Viateur;2396
Clark / St-Zotique;333
Collège de Rosemont (15e avenue / Beaubien);1991
Collège Édouard-Montpetit (de Gentilly / de Normandie);281
Complexe sportif Claude Robillard (Émile-Journault);0
Complexe sportif Claude-Robillard;0
Crescent / de Maisonneuve;5000
Crescent / René-Lévesque;590
Cypress / Peel;1038
CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville);254
Cégep André-Laurendeau;1169
Cégep André-Laurendeau (Lapierre);405
Cégep Marie-Victorin;641
d'Iberville / Fleury;844
d'Orléans / du Mont-Royal;0
d'Orléans / Hochelaga;0
d'Orléans / Masson;0
d'Outremont / Ogilvy;316
Dandurand / de Lorimier;1359
Dandurand / des Érables;0
Darling / Sherbrooke;0
Davaar / de la Côte-Ste-Catherine;446
de Bellechasse / de St-Vallier;866
de Bellechasse / Pie-IX;0
de Belleville / Fleury;246
de Bleury / de Maisonneuve;608
de Bordeaux / Gilford;0
de Bordeaux / Jean-Talon;209
de Bordeaux / Marie-Anne;1351
de Bordeaux / Masson;989
de Bordeaux / Sherbrooke;791
de Bordeaux / St-Zotique;19
de Brébeuf / du Mont-Royal;0
de Brébeuf / Gilford;415
de Bullion / du Mont-Royal;916
de Bullion / St-Joseph;441
de Castelnau / Lajeunesse;579
de Chambly / de Rouen;449
de Chambly / Rachel;839
de Champlain / Ontario;238
de Chateaubriand / Jarry;262
de Chateaubriand / Leman;359
de Chenonceau / Chomedey;661
de Châteauguay / Ropery;2
de Côme / Jean-Talon;0
de Gaspé / Beaubien;158
de Gaspé / Dante;584
de Gaspé / de Liège;159
de Gaspé / Fairmount;0
de Gaspé / Jarry;180
de Gaspé / Marmier;552
de Gaspé / St-Viateur;0
de Gaspé / Villeray;711
de Grenoble / de Cassis;865
de Grosbois / Ducheneau;849
de Grosbois / Duchesneau;413
de Hampton / de Monkland;916
de Kent / de la Côte-des-Neiges;1099
de Kent / Victoria;929
de l'Eglise / St-Germain;1229
de l'Esplanade / du Mont-Royal;0
de l'Esplanade / Fairmount;591
de l'Hôtel-de-Ville / Ontario;0
de l'Hôtel-de-Ville / Roy;449
de l'Hôtel-de-Ville / Sherbrooke;0
de l'Hôtel-de-Ville / St-Joseph;445
de l'Hôtel-de-Ville / Ste-Catherine;570
de l'Hôtel-de-Ville / Villeneuve;137
de l'Église / Bannantyne;0
de l'Église / de Verdun;0
de la Cathédrale / René-Lévesque;1099
de la Commune / Berri;1046
de la Commune / King;312
De la Commune / King;474
de la Commune / Place Jacques-Cartier;1310
de la Commune / St-Sulpice;1519
de la Côte St-Antoine / Argyle;548
de la Côte St-Antoine / Royal;568
de la Côte St-Paul / St-Ambroise;566
de la Gauchetière / Robert-Bourassa;730
de la Montagne / Sherbrooke;1503
de la Montagne/ Sherbrooke;0
de la Peltrie / de la Côte-des-Neiges;347
de la Pépinière / Pierre-de-Coubertin;522
de la Roche /  de Bellechasse;1256
de la Roche / Bélanger;940
de la Roche / Everett;248
de la Roche / Marie-Anne;785
de la Rotonde / Jacques-Le Ber;408
de la Salle / Hochelaga;1264
de la Salle / Ontario;0
de la Salle / Ste-Catherine;45
de Lanaudière / Bélanger;1138
de Lanaudière / du Mont-Royal;0
De Lanaudière / du Mont-Royal;297
de Lanaudière / Laurier;0
de Lanaudière / Marie-Anne;0
de Laprairie / Centre;550
de Lisieux / Jean-Talon;419
de Léry / Sherbrooke;453
de l’hôtel de ville / Saint-Joseph;876
de Maisonneuve / Aylmer (est);203
de Maisonneuve / Aylmer (ouest);477
de Maisonneuve / Berri;398
de Maisonneuve / Greene;482
de Maisonneuve / Mansfield (nord);785
de Maisonneuve / Mansfield (sud);7029
de Maisonneuve / Mansfield SE;61
de Melrose / Sherbrooke;666
de Mentana / Gilford;415
de Mentana / Laurier;0
de Mentana / Marie-Anne;1248
de Mentana / Rachel;574
de Mentana / St-Joseph;882
de Monkland / Girouard;208
de Normanville / Beaubien;0
de Normanville / Jean-Talon;0
de Normanville / Villeray;659
de Rouen / Lespérance;0
de Soissons / de Darlington;1040
de St-Firmin / Fleury;383
de St-Vallier / St-Zotique;1559
de Versailles / St-Jacques;0
de Ville-Marie / Ste-Catherine;1775
Delisle / George-Vanier;0
des Bassins / du Séminaire;1338
des Bassins / Richmond;1568
des Jockeys / Décarie;653
des Ormeaux / de Grosbois;231
des Ormeaux / Notre-Dame;401
des Récollets / Martial;1275
des Récollets / McGill;995
des Seigneurs / Notre-Dame;298
des Soeurs-Grises / Marguerite-d'Youville;208
des Érables / Bélanger;0
des Érables / Dandurand;0
des Érables / du Mont-Royal;189
des Érables / Laurier;401
des Érables / Rachel;0
Des Érables / Villeray;1339
Desjardins / Ontario;361
Dixie / 53e avenue;0
Dixie / 54e avenue;16545
Dollard / Bernard;743
Dollard / Van Horne;336
Dorion / Gauthier;590
Dorion / Ontario;481
Dorion / Rachel;0
Dorion / Sherbrooke;873
Drolet / Beaubien;0
Drolet / Faillon;0
Drolet / Gounod;358
Drolet / Jarry;864
Drolet / Laurier;399
Drolet / Marie-Anne;321
Drolet / St-Zotique;0
Drummond / de Maisonneuve;455
Drummond / Sherbrooke;0
Drummond / Ste-Catherine;722
du Champ-de-Mars / Gosford;382
du Havre / de Rouen;619
du Mans / des Alouettes;688
du Mont-Royal / Augustin-Frigon;644
du Mont-Royal / Clark;151
du Mont-Royal / Laurendeau;0
du Parc-La Fontaine / Duluth;1556
du Parc-La Fontaine / Roy;887
du Parc-Lafontaine / Rachel;445
du President-Kennedy / Union;1416
du Président-Kennedy / Jeanne-Mance;1438
Du Quesne / Pierre-de-Coubertin;0
du Rosaire / St-Hubert;0
du Souvenir / Chomedey;552
du Tricentenaire / Prince-Albert;198
Dubois / Eadie;86
Duchesneau / de Marseille;0
Duchesneau / Marseille;0
Duke / Brennan;485
Duluth  / St-Denis;352
Duluth  / St-Denis (2);204
Duluth / de l'Esplanade;0
Duluth / du Parc;46
Duluth / St-Denis;0
Duluth / St-Laurent;1993
Duluth /St-Denis;0
Dumesnil / Bélanger;0
Durocher / Beaumont;0
Durocher / Bernard;3433
Durocher / Sherbrooke;0
Durocher / St-Viateur;756
Durocher / Van Horne;0
Duvernay / Charlevoix;2273
Dépôt Festivals ( de Maisonneuve / St-Laurent);280
Dézéry / Ontario;0
Earnscliffe / Queen-Mary;386
Egan / Laurendeau;1261
Eleanor / Ottawa;704
Elgar / de l'Île-des-Sœurs;388
Ellendale / de la Côte-des-Neiges;740
Ernest-Gendreau / du Mont-Royal;378
Evans / Clark;392
Everett / 8e avenue;0
Everett / Garnier;0
Fabre / Beaubien;509
Fabre / St-Zotique;508
Fabrik8 (Waverly / Jean-Talon);247
Faillon / St-Denis;325
Fleury / André-Jobin;1026
Fleury / de St-Firmin;0
Fleury / Lajeunesse;0
Fortune / Wellington;1138
Francis / Fleury;0
François-Boivin / Bélanger;541
Fullum / de Rouen;753
Fullum / Gilford;0
Fullum / Holt;332
Fullum / Marie-Anne;498
Fullum / Ontario;638
Fullum / Sherbrooke;0
Fullum / Terrasse Mercure;56
Gagne / LaSalle;973
Gare Bois-de-Boulogne;681
Gare d'autocars de Montréal (Berri / Ontario);646
Gare du Ruisseau (Dutrisac / Henri-Bourassa);480
Gare Lachine (Sir George Simpson / 48e avenue);411
Gare Montpellier (Muir / de la Côte-Vertu);686
Gare St-Michel / Montréal-Nord (Pie-IX / 56e);995
Garnier / du Mont-Royal;0
Garnier / Everett;716
Garnier / St-Grégoire;490
Garnier / St-Joseph;0
Gary-Carter / St-Laurent;771
Gauthier / de Lorimier;0
Gauthier / Papineau;0
Gauthier / Parthenais;0
Georges-Vanier / Notre-Dame;797
Gerry-Boulet / St-Grégoire;0
Gilford / de Brébeuf;989
Gilford / de Lanaudière;934
Gilford / des Érables;0
Gilford / Parthenais;666
Gilford / St-Denis;482
Glengarry / Graham;671
Gloria / Dollard;468
Gordon / Wellington;789
Graham / Brookfield;962
Graham / Kindersley;668
Graham / Wicksteed;588
Grand Boulevard / de Terrebonne;1564
Grand Boulevard / Sherbrooke;611
Grand Trunk / d'Hibernia;651
Grenet / Poirier;0
Grey / Sherbrooke;0
Guilbault / Clark;1085
Guizot / Clark;389
Guizot / St-Denis;311
Guizot / St-Laurent;371
Guy / Notre-Dame;645
Guy / Sainte-Catherine;678
Hamel / Sauvé;0
Hamilton / Jolicoeur;475
Harvard / de Monkland;294
HEC (Decelles / Jean-Brillant);452
Henri-Julien / de Bellechasse;786
Henri-Julien / de Castelnau;967
Henri-Julien / du Carmel;1513
Henri-Julien / Duluth;282
Hickson / Wellington;227
Hillside / Ste-Catherine;464
Hochelaga / Chapleau;1567
Hochelaga / de l'Assomption;205
Hogan / Ontario;693
Hutchison / Beaubien;1270
Hutchison / Beaumont;0
Hutchison / des Pins;800
Hutchison / Prince-Arthur;0
Hutchison / Sherbrooke;0
Hutchison / Van Horne;0
Hutchison/ Van Horne;379
Hélène-Baillargeon / St-Denis;0
Hôpital général juif (de la Côte Ste-Catherine / Légaré);1050
Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré);1200
Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain);1042
Hôpital Sacré-Coeur (Forbes);0
Hôpital Santa Cabrini (St-Zotique / Jeanne-Jugan);1211
Irene / St-Jacques;33
IUSMM (Georges-Villeneuve);1720
Jacques-Casault / Christophe-Colomb;0
Jacques-Le Ber / de la Pointe Nord;1384
Jardin Botanique (Pie-IX / Sherbrooke);1406
Jean Langlois / Fullum;367
Jean-Brillant / de la Côte-des-Neiges;833
Jeanne-d'Arc / Ontario;0
Jeanne-Mance / Beaubien;1723
Jeanne-Mance / Bernard;283
Jeanne-Mance / Laurier;290
Jeanne-Mance / René-Lévesque;190
Jeanne-Mance / St-Martin O;1283
Jeanne-Mance / St-Viateur;582
Jogues / Allard;0
Joseph-Manseau / René-Lévesque;242
Keller / Cousineau;2847
King / de la Commune;631
Kirkfield / de Chambois;411
la Fontaine / Alexandre-de-Sève;820
La Ronde;1619
La Tour de Montréal (Pierre-de-Coubertin / Bennett);0
Labadie / du Parc;1299
Labelle / Ste-Catherine;0
Lacombe / Victoria;383
Laforest / Dudemaine;789
Lajeunesse / de Liège;676
Lajeunesse / Jarry;0
Lajeunesse / Villeray;0
Langelier / Marie-Victorin;0
Lapierre / Serge;0
Larivière / de Lorimier;735
LaSalle / 37e avenue;382
LaSalle / 80e avenue;693
LaSalle / 90e avenue;0
LaSalle / Crawford;406
LaSalle / Godin;1712
Laurier / de Bordeaux;0
Laurier / de Brébeuf;0
Laurier / Parisi;1205
Laval / du Mont-Royal;923
Laval / Duluth;0
Laval / Rachel;0
Le Corbusier / St-Martin O;126
Legrand / Cartier;244
Legrand / Laurier;765
Leman / de Chateaubriand;0
Lespérance / de Rouen;0
Letourneaux / Ste-Catherine;943
Letourneux / Hochelaga;668
Letourneux / Ste-Catherine;0
Lincoln / du Fort;1568
Lionel-Groulx / George-Vanier;343
Liébert / Hochelaga;767
Logan / d'Iberville;575
Logan / de Champlain;1269
Logan / Fullum;0
Louis-Hébert / Beaubien;0
Louis-Hébert / Bélanger;1139
Louis-Hébert / de Bellechasse;451
Louis-Hébert / St-Zotique;632
Louis-Hémon / Jean-Talon;1078
Louis-Hémon / Rosemont;1236
Louis-Hémon / Villeray;429
Louisbourg / O'brien;0
Lucien L'Allier / St-Jacques;502
Lusignan / St-Jacques;1985
Léa-Roback / Sir-Georges-Etienne-Cartier;1865
Mackay / de Maisonneuve;179
Mackay / Sainte-Catherine;446
Mackay / Ste-Catherine;241
Maguire / Henri-Julien;390
Maguire / Saint-Dominique;0
Maguire / St-Dominique;462
Maguire / St-Laurent;545
Mairie d'arrondissement LaSalle (Dupras / Jeannette);796
Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi);0
Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin);2489
Mansfield / Cathcart;0
Mansfield / Ste-Catherine;1042
Marché Atwater;2567
Marché Jean-Talon (Casgrain / Shamrock);0
Marché Jean-Talon (Henri-Julien / Jean-Talon);324
Marché Maisonneuve;115
Marcil / Sherbrooke;572
Marie-Anne / de la Roche;843
Marie-Anne / Papineau;369
Marie-Anne / St-Hubert;752
Marmier;1071
Marmier / St-Denis;1267
Marquette / des Carrières;688
Marquette / du Mont-Royal;0
Marquette / Fleury;4
Marquette / Gilford;0
Marquette / Jean-Talon;271
Marquette / Laurier;0
Marquette / Rachel;180
Marquette / Villeray;324
Mayfield / St-Martin O;788
McCulloch / de la Côte Ste-Catherine;568
McKenna / Édouard-Montpetit;923
McLynn / Plamondon;0
McNamara / St-Martin O;2018
McTavish / Sherbrooke;475
Melville / de Maisonneuve;614
Messier / du Mont-Royal;0
Messier / St-Joseph;1242
Metcalfe / de Maisonneuve;975
Metcalfe / du Square-Dorchester;0
Metcalfe / St-Catherine;755
Michelet / Jean-Talon;0
Milton / Clark;1107
Milton / du Parc;594
Milton / Durocher;778
Molson / Beaubien;781
Molson / William-Tremblay;1351
Monk / Biencourt;0
Monk / de Biencourt;0
Monk / Jacques-Hertel;445
Monsabré / Boileau;338
Montcalm / de Maisonneuve;411
Montcalm / Ontario;1824
Montmorency / Richardson;597
Mozart / Casgrain;0
Mozart / St-Laurent;532
Mozart / Waverly;1457
Métro Acadie (de l'Acadie / Beaumont);0
Métro Angrignon (Lamont /  des Trinitaires);0
Métro Assomption (Chauveau / de l'Assomption);0
Métro Atwater (Atwater / Ste-Catherine);2193
Métro Beaubien (de Chateaubriand / Beaubien);608
Métro Beaudry ( Beaudry / Ste-Catherine);1028
Métro Beaudry ( Montcalm / Ste-Catherine);9
Métro Beaudry (Beaudry / Ste-Catherine);630
Métro Beaudry (Montcalm / de Maisonneuve);0
Métro Bonaventure (de la Gauchetière / de la Cathédrale);1159
Métro Cadillac (Cadillac / Sherbrooke);568
Métro Cadillac (de Cadillac / Sherbrooke);0
Métro Cartier;747
Métro Champ-de-Mars (Viger / Sanguinet);553
Métro Charlevoix (Centre / Charlevoix);0
Métro Crémazie (Crémazie / Lajeunesse);0
Métro de Castelnau (de Castelnau / St-Laurent);970
Métro de l'Église (Ross / de l'Église);0
Métro de la Concorde (Léo-Lacombe);1496
Métro de la Savane (de Sorel / Bougainville);1452
Métro du Collège (Cartier / Décarie);1157
Métro Fabre (Marquette / Jean-Talon);563
Métro Frontenac (Ontario / du Havre);332
Métro Georges-Vanier (St-Antoine / Canning);634
Métro Guy-Concordia (Guy / St-Catherine);0
Métro Henri-Bourassa (Henri-Bourassa / Millen);0
Métro Honoré-Beaugrand (Sherbrooke / Honoré-Beaugrand);268
Métro Jarry (Lajeunesse / Jarry);424
Métro Jean-Talon (Berri / Jean-Talon);702
Métro Jolicoeur (de Sève / Drake);775
Métro Joliette  (Joliette / Hochelaga);0
Métro Langelier (Langelier / Sherbrooke);75
Métro Lasalle (de Rushbrooke / Caisse);0
Métro Laurier (Berri / Laurier);202
Métro Laurier (Berri / St-Joseph);185
Métro Laurier (Bibaud / Rivard);0
Métro Laurier (Rivard / Laurier);562
Métro Lionel-Groulx (Saint-Jacques/ Atwater);0
Métro Lionel-Groulx (St-Jacques / Atwater);0
Métro Lionel-Groulx (Walker / Saint-Jacques);0
Métro Longueuil - Université de Sherbrooke;386
Métro Lucien-L'Allier  (Lucien l'Allier / Argyle);0
Métro Monk (Allard / Beaulieu);0
Métro Mont-Royal (Rivard / du Mont-Royal);565
Métro Montmorency;227
Métro Papineau (Cartier / Ste-Catherine);2467
Métro Parc  (Hutchison / Ogilvy);588
Métro Peel (de Maisonneuve / Stanley);594
Métro Pie-IX (Pierre-de-Coubertin / De La Salle);592
Métro Pie-IX (Pierre-de-Coubertin / de la Salle);0
Métro Place St-Henri (St-Ferdinand / St-Jacques);1426
Métro Place-d'Armes (Viger / St-Urbain);130
Métro Place-des-Arts (du Président-Kennedy / Jeanne-Mance);682
Métro Plamondon (Carlton / Victoria);230
Métro Plamondon (de Kent / Victoria);0
Métro Préfontaine (Moreau / Hochelaga);0
Métro Radisson (Sherbrooke / des Groseilliers);746
Métro Rosemont (de St-Vallier / Rosemont);182
Métro Sauvé (Berri / Sauvé);0
Métro Sherbrooke (de Rigaud / St-Denis);239
Métro Snowdon (de Westbury / Queen-Mary);323
Métro Snowdon (Dornal / Westbury);0
Métro St-Laurent (de Maisonneuve / St-Laurent);817
Métro St-Laurent 2 ( de Maisonneuve / St-Laurent);126
Métro St-Laurent Dépôt ( de Maisonneuve / St-Laurent);426
Métro St-Michel (Shaughnessy / St-Michel);84
Métro Université de Montréal (Édouard-Montpetit / Louis-Collin);1691
Métro Vendôme (de Marlowe / de Maisonneuve);253
Métro Verdun (Willibrord / de Verdun);0
Métro Viau (Pierre-de-Coubertin / Viau);172
Métro Viau (Viau / Pierre-de-Coubertin);760
Métro Villa-Maria (de Monkland / Décarie);526
Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy);0
Natatorium (LaSalle / Rolland);0
Newman / Senkus;525
Nicolet / Sherbrooke;0
Northcliffe / Notre-Dame-de-Grâce;0
Notre-Dame / de la Montagne;688
Notre-Dame / Gauvin;839
Notre-Dame / Guy;236
Notre-Dame / Jean-d'Estrées;0
Notre-Dame / Liébert;443
Notre-Dame / Murray;0
Notre-Dame / St-Gabriel;481
Notre-Dame-de-Grâce / Décarie;1033
Notre-Dame-de-Grâce / Westmount;0
O'Brien / Poirier;0
Omer-Lavallée / du Midway;514
Ontario / Sicard;0
Ontario / Viau;0
Ottawa / William;376
Palm / St-Rémi;513
Panet / Ste-Catherine;585
Papineau / René-Lévesque;2345
Papineau / Émile-Journault;0
Parc Aimé-Léonard (Gouin / Ste-Gertrude);555
Parc Angrignon ( Lacroix / des Trinitaires);437
Parc Angrignon (Lacroix / des Trinitaires);2
Parc Armand-Bombardier (Perras / Armand-Bombardier);554
Parc Baldwin (Fullum / Sherbrooke);0
Parc Beaubien (Stuart / St-Viateur);0
Parc Beaubien Outremont (Stuart / St-Viateur);785
Parc Beaulac (rue Élizabeth);0
Parc Benny (Benny / de Monkland);464
Parc Chamberland (Dorais / de l'Église);0
Parc Champdoré (Champdoré / de Lille);0
Parc Charleroi (Alfred / Louis-Francoeur);646
Parc Chenier (de l'Aréna / Chenier);123
Parc Chopin (Dumouchel / Tessier);19
Parc Courbertin (Valéry / Perrier);391
Parc d'Antioche ( Place d'Antioche / St-Zotique);1023
Parc d'Antioche (Place d'Antioche / St-Zotique);685
Parc de Beauséjour (Gouin / Henri-d'Arles);223
Parc de Bullion (de Bullion / Prince-Arthur);0
Parc de Dieppe;733
Parc de l'Hôtel-de-Ville (Laurendeau / Ste-Julie);0
Parc de la Confédération (Fielding / West Hill);1398
Parc de Montréal-Est (Notre-Dame Est / David);0
Parc Delorme (Malouin / Laferté);0
Parc des Hirondelles (Fleury / André-Jobin);0
Parc des Rapides (LaSalle / 6e avenue);188
Parc des Vétérans (des Vétérans / Broadway);589
Parc Dixie (54e avenue / Dixie);0
Parc du Bois-Franc (de l'Équateur / des Andes);0
Parc du Mail (Bois de Coulonges / du Mail);606
Parc du Pélican (1ère avenue / Masson);0
Parc du Pélican (2e avenue / St-Joseph);300
Parc du Pélican (Laurier/ 2e avenue);317
Parc Ernest-Rouleau (Gouin);563
Parc Eusèbe-Ménard (Gouin / St-Vital);1023
Parc Ferland (Belleherbe / Albanel);10
Parc Félix-Leclerc (François-Boivin / St-Zotique);337
Parc Garibaldi (Liénart / Bélanger);368
Parc Georges St-Pierre (Oxford / Upper Lachine);346
Parc Georges St-Pierre (Upper Lachine / Oxford);0
Parc Grovehill (St-Antoine / Ivan-Franko);0
Parc Henri-Dunant (Léger / Henri-Dunant);0
Parc Henri-Durant (Léger / Henri-Durant);160
Parc Henri-Julien (Legendre / Henri-Julien);381
Parc Highlands (Highlands / LaSalle);2150
Parc Howard (de l'Épée / de Liège);0
Parc Hébert ( Provencher / Buies);0
Parc Hébert (Colbert / Provencher);520
Parc Hébert (Provencher / Buies);511
Parc Ivan-Franko (33e avenue / Victoria);0
Parc J.-Arthur-Champagne (de Chambly / du Mont-Royal);0
Parc Jean-Drapeau (Chemin Macdonald);1021
Parc Jeanne Mance (monument sir George-Etienne Cartier);567
Parc Jeanne-Mance (du Mont-Royal / du Parc);0
Parc Jeanne-Mance (monument à sir George-Étienne Cartier);221
Parc Joseph-Robin (18e avenue / Everett);816
Parc Joyce (Rockland / Lajoie);1312
Parc Kent (de Kent / Hudson);1197
Parc Kirkland (des Érables / Boyer);0
Parc Labelle (LaSalle / Henri-Duhamel);526
Parc Labelle (Lasalle/ Henri Duhamel);289
Parc Lalancette (de Rouen / Valois);538
Parc Lalancette (de Rouen/ Valois);0
Parc Langelier - Marie-Victorin;0
Parc LaSalle (10e avenue / Victoria);0
Parc Loyola (Somerled / Doherty);0
Parc Ludger-Duvernay (St-André / St-Hubert);0
Parc Luigi-Pirandello (de Bretagne / Jean-Rivard);0
Parc MacDonald (Clanranald / Isabella);0
Parc MacDonald (Earnscliffe / Dupuis);1243
Parc Maisonneuve (Viau / Sherbrooke);0
Parc Marlborough (Beauzèle / Robichaud);0
Parc Maurice Bélanger (Forest / de l'Hôtel-de-Ville);855
Parc Maurice Bélanger (Hebert / Forest);226
Parc Maurice-Bélanger (Hébert / Denommée);218
Parc nature de l'Île-de-la-Visitation (Gouin / de Bruchési);0
Parc Nicolas-Tillemont (des Érables / Villeray);834
Parc Noel-Nord (Toupin / Keller);0
Parc Olympique (Pie-IX / Sherbrooke);109
Parc Ottawa (de Belleville / Fleury);0
Parc Outremont (Bloomfield / Elmwood);1573
Parc Outremont (Bloomfield / St-Viateur);0
Parc Painter (Marcotte / Quenneville);0
Parc Plage;302
Parc Pratt (Dunlop / Van Horne);0
Parc Père-Marquette (Chambord / Rosemont);795
Parc Père-Marquette (de Lanaudière / de Bellechasse);0
Parc Reine-Élizabeth (Penniston / Crawford);0
Parc riverain de Lachine (des Iroquois);0
Parc Saint-Laurent (Dutrisac);0
